Course_Name;University;Difficulty_Level;Course_Description;Skills;category_id
Leading People and Teams Capstone;University of Michigan;Beginner;The capstone project will consist of three options, and you will complete one of them as part of the course.  The first option is working with senior-level executives to help them solve their most pressing leadership challenges. Two (2) senior-level executives from leading organizations will provide detailed descriptions of ongoing leadership challenges that they are currently facing within their organizations. The challenges will be real and current. You will be asked to help the executives think through how best to approach and address their respective leadership challenges. Specifically, you will be tasked with drafting a memo to one of the executives outlining your recommendations for how best to address the leadership challenge. To offer effective advice and counsel, you will need to use course concepts and frameworks to (a) diagnose the fundamental issue(s), and then (b) develop a coherent set of solutions or recommendations. The memos will be evaluated based on how effectively you apply course concepts to diagnose the problem and how well you link your proposed solutions to the diagnosis. The best submissions will be sent to the executives for their review, and each executive will offer feedback that will then be shared with the entire class to advance everyoneï¿½s learning.  The second option is to identify your own leadership challenge (e.g., at work, at school, in your local community). You should be directly involved in the challenge, and the challenge must align with at least one topic from the specialization. You will develop a presentation where you use course concepts and frameworks to (a) diagnose the core leadership challenge and barriers to effective performance, and then (b) develop a coherent set of solutions or recommendations for your own leadership challenge.   The third option asks you to interview an executive of your choosing. In this interview, you will ask questions about the challenges faced by that executive with respect to leading people and teams, as well as the practices used by the executive to address his or her challenges. In your written submission, you will use course concepts to organize the major leadership challenges faced by the executive, highlight the strategies and practices used by the executive to address the core leadership challenges, and then to evaluate the effectiveness of the executiveï¿½s practices related to leading people and teams.  You can expect to receive staff feedback on your assignment 4 to 8 months after you submit your assignment.;Project Management  presentation  Performance Management  Audit  Influencing  leadership  Leadership and Management  Leadership Development  Human Resources  Human Learning business leadership-and-management;0
Sensor Manufacturing and Process Control;University of Colorado Boulder;Intermediate;Sensor Manufacturing and Process Control can also be taken for academic credit as ECEA 5343, part of CU Boulderï¿½s Master of Science in Electrical Engineering degree.  This is our fourth course in our specialization on Embedding Sensor and Motors. To get the most out of this course, you should first take our first course entitled Sensors and Sensor Circuits, our second course entitled Motor and Motor Control Circuits, and our third course entitled Pressure, Force, Motion, and Humidity Sensors. Our first course gives you a tutorial on how to use the hardware and software development kit we have chosen for the lab exercises. Our second and third courses give you three hands-on lab experiments using the kit. This third course assumes that you already know how to use the kit.  You will learn about sensor signal characterization and manufacturing techniques and how to optimize the accuracy of sensors. You will also learn about more Advanced sensors, proportional-integral-derivative (PID) control, and how this method is used to give you a closed loop sensor feedback system.  After taking this course, you will be able to: ?\tUnderstand how sensor manufacturers characterize and calibrate their sensors. ?\tTune a PID control loop and access the PID control function of the Cypress PSoC development kit for a motor control application.   ?\tUnderstand manufacturing methods used to build electro-mechanical and micro-machined sensors.  You will need to buy the following components to do the two course projects based on the videos in this module. Note that if you have already purchased the PSOC 5LP PROTOTYPING KIT, you do not need to buy it again.   These parts may be purchased off the Digikey web site, www. Digikey.com. Or, you may obtain the specs from the site, and purchase them elsewhere. All are quantity one except for N107-ND where you need three, and 493-15371-ND where you need two.   428-3390-ND P14355-ND FQU13N10LTU-ND N107-ND 1N5393-E3/54GICT-ND  RNF14FTD1K00CT-ND  P0.62W-1BK-ND 493-15371-ND;Mechatronics  Accuracy And Precision  manufacturing process management  calibration  electronics  robotics  Pressure Sensor  linearization  Electrical Engineering  process control physical-science-and-engineering electrical-engineering;2
Approaching Music Theory: Melodic Forms and Simple Harmony;California Institute of the Arts;Intermediate;This course is about how music works. It is about the relationship between the technical and aesthetic details of music. It is also about how developing a meaningful theoretical vocabulary can help you think and talk about musical style, and how learning that vocabulary can expand your appreciation for music.  In this course you will learn music theory not by looking at theory itself, but by listening to, looking at, andï¿½yes!ï¿½writing your own musical examples. By hearing, seeing, and writing yourself, you will learn about classical, modern, ancient, pop, jazz, and folk styles.  Through lectures, relevant examples, and numerous practice assignments, we will examine fundamental aspects of melody. We will move into working with two voices and counterpoint, and finally to three voices and the beginnings of harmonic function.  This is an intermediate-level course for musicians and composers who already have some understanding of music theory through previous study. If you are a musician or composer looking to build a deeper understanding of music theory for composing, performing, or improvisation, you have come to the right place. If you are an amateur lover of music or, perhaps, play a musical instrument and want to develop a deeper sense of appreciation for music theory, aesthetics, and history, you are also in the right place!;history  thought  harmony  music  jazz  Poetry Writing  piano  human voice  chord  relative change and difference arts-and-humanities music-and-art;2
Palo Alto Networks Cybersecurity Gateway I;Palo Alto Networks;Beginner;PaloAlto Networks Gateway 1   Gateway 1 Course Description: Gateway Part I  provides the student with a partial understanding of the fundamental tenants of networking and covers the general concepts involved in maintaining a secure network computing environment. Upon successful completion of this course, students will be able to partially examine and describe general networking fundamentals,  and also implement basic networking configuration techniques.  Why Should You Take This Course:    Gateway 1 Course Objectives: Upon completion of this course, students will be able to:  ï¿½\tDemonstrate knowledge of interconnected technology in daily communication and understanding systems that need protection.  ï¿½\tDemonstrated knowledge of physical, logical, and virtual addressing that accommodates various sized networks through the use of subnet mask schemes.  ï¿½\tExplain the TCP/IP Model and correctly identify the functions of the specific layers including packet encapsulation and lifecycle.;networking standards  Communication  component-based software engineering  Networking Hardware  default gateway  flow network  Network Model  topology  internet  voice over ip information-technology security;0
SRS Documents: Requirements and Diagrammatic Notations;University of Colorado System;Advanced;As requirements are being gathered and prioritized, they also need to be documented. In Diagrammatic Notations and Software Requirements Specification Writing, we discuss and practice the process of turning requirements into something readable to the customers at a high level, and the developers.  When a designer or developer reads your document, they should be able to understand the overall idea, the scope, the domain, the resources, the expectations, and why alternative choices are not selected. To create a document in this way, you use a balance between storytelling (with pictures!) and complex diagrams.;data flow diagram  misuse case  use case diagram  entity relationship model  software requirements  trace diagram  abuse case  use case  Flow Diagrams  documents computer-science software-development;1
University Admission Prediction Using Multiple Linear Regression;Coursera Project Network;Intermediate;In this hands-on guided project, we will train regression models to find the probability of a student getting accepted into a particular university based on their profile. This project could be practically used to get the university acceptance rate for individual students using web application.   Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;Standard Score  modeling  Coefficient Of Determination  Regression  linear regression  Data Analysis  Studentized Residual  project  Python Programming  linearity data-science machine-learning;2
System Validation (3): Requirements by modal formulas;EIT Digital;Advanced;System Validation is the field that studies the fundamentals of system communication and information processing. It allows automated analysis based on behavioural models of a system to see if a system works correctly. We want to guarantee that the systems does exactly what it is supposed to do. The techniques put forward in system validation allow to prove the absence of errors. It allows to design embedded system behaviour that is structurally sound and as a side effect enforces you to make the behaviour simple and insightful. This means that the systems are not only behaving correctly, but are also much easier to maintain and adapt. ï¿½Requirements by modal formulas' is the third course that shows you how to specify requirements for the automata in order to establish the correct relation between the requirements and the behaviour of the system. Reading material. J.F. Groote and M.R. Mousavi. Modeling and analysis of communicating systems. The MIT Press, 2014.;Javascript  logic  modulo operation  System V  boolean algebra  modal ?-calculus  fixed-point combinator  c dynamic memory allocation  deadlock  transition system computer-science software-development;1
Introduction to Containers w/ Docker, Kubernetes & OpenShift;IBM;Advanced;After completing this course, you will be able to build applications in a cloud native way using containerization tools and technologies, and deploy your applications in any public, private or hybrid cloud at incredible scale. This course introduces you to containers and explains how containers differ from virtual machines.  It also covers the importance of containers in cloud computing, as well as the emerging ecosystem of related technologies such as Docker, Kubernetes, Red Hat OpenShift, and Istio.  Throughout the course you will apply what you learn with hands-on labs. From getting started with Docker, to orchestration and scaling with Kubernetes, and simplifying deployments with OpenShift. The labs are performed using your web browser on IBM Cloud and Skills Network Labs environments, that are made available to you at no charge. in the project at the end of the course you will build a container image and deploy and scale it on Cloud using OpenShift.   Containerization is likely the most significant invention in IT since the introduction of virtualization. Open source projects like Kubernetes and products like Red Hat OpenShift have become standards for people looking to deploy and manage containers at scale. Everyone from small startups to large multinational corporations is transitioning to these technologies, and they are looking for people who are skilled in these areas.  This course is of interest to anyone who wants to be a cloud practitioner - cloud developers, cloud architects, cloud system engineers, devops engineers, cloud networking specialists and many other roles. The material also serves the needs of those who perform the tasks of advising, consulting, building, moving and managing cloud solutions.  There are no hard requirements needed to be able to take this course other than basic computer literacy, and a foundation level understanding of Cloud Computing.;modulo operation  microservices  source code  ternary conditional operator  data clustering algorithms  null coalescing operator  information sensitivity  openshift  streams  control plane information-technology cloud-computing;1
Agile Analytics;University of Virginia;Beginner;Few capabilities focus agile like a strong analytics program. Such a program determines where a team should focus from one agile iteration (sprint) to the next. Successful analytics are rarely hard to understand and are often startling in their clarity. In this course, developed at the Darden School of Business at the University of Virginia, you'll learn how to build a strong analytics infrastructure for your team, integrating it with the core of your drive to value.  As a Project Management Institute (PMIï¿½) Registered Education Provider, the University of Virginia Darden School of Business has been approved by PMI to issue 25 professional development units (PDUs) for this course, which focuses on core competencies recognized by PMI. (Provider , 2122);touchpoint  Product Management  analytics  user story  scrum (software development)  Leadership and Management  usability  java annotation  usability testing  agile management computer-science design-and-product;0
Introduction to Docker: Build Your Own Portfolio Site;Coursera Project Network;Beginner;In this 1-hour long project-based course on Introduction to Docker: Build your own portfolio website, you will learn how to use Docker on the command line and create your own portfolio website from a Bootstrap template in a Docker container. You will get to explore and demystify the Docker landscape and see how Docker works by using it.   You will learn many fundamental concepts which will help you progress in your career, studies and knowledge, such as images, containers, the registry, the client/server model in Docker via the Docker Engine etc.   You will use various commands and become comfortable spinning up containers, doing basic debugging to see statuses of containers, linking local files to files inside of Docker and learning basic networking to map a container port to a port on your local host machine to set up a development environment with Docker.   Most importantly you will leave this course more confident in your knowledge of Docker and ready to understand Docker at a more Advanced level, and ready to contribute better to your technical or development teams  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;redis  docker (software)  software  angularjs  laravel  HTML and CSS  project  html  demos  Angular information-technology cloud-computing;0
Motivating Gen Z Learners: What Parents and Teachers Need to Know;Nanyang Technological University, Singapore;Beginner;The purpose of this course is to equip parents and educators with the knowledge of motivational theories and their application in real-life contexts.  Following the storyline of two children, Bob and Sarah, course participants are presented with a variety of problem scenarios. These depict common motivational issues that the participants can resolve using the motivational principles described in the course. Through the various sessions, parents and educators will progressively build a repertoire of strategies that enable them to better understand the Gen Z learners and to enhance their motivation to learn.   Course participants will also have the opportunity to check their own understanding through quizzes and to interact with one another through discussion forums.  This course was created with the National Institute of Education at Nanyang Technological University, Singapore.  About National Institute of Education (NIE) As an autonomous institute of the Nanyang Technological University, the National Institute of Education (NIE), Singapore, is Singaporeï¿½s national teacher education institute and plays a key role in the preparation of teachers and in the provision of teacher professional and school leadership development programmes. Its university-based teacher education programmes leverage the strong partnerships with the Ministry of Education and Singapore schools to develop teachers who are grounded in theory and strong in practice. As an institute within a world-class research university, NIE also offers rigorous graduate education in the form of masters and doctoral programmes for local and international students.;child  Special Education  education  School Psychology  educational psychology  gifted at-risk  school counseling  teacher training  child care  Child Psychology social-sciences education;0
Neural Network from Scratch in TensorFlow;Coursera Project Network;Beginner;In this 2-hours long project-based course, you will learn how to implement a Neural Network model in TensorFlow using its core functionality (i.e. without the help of a high level API like Keras). You will also implement the gradient descent algorithm with the help of TensorFlow's automatic differentiation. While itï¿½s easier to get started with TensorFlow with the Keras API, itï¿½s still worth understanding how a slightly lower level implementation might work in tensor?ow, and this project will give you a great starting point.  In order to be successful in this project, you should be familiar with python programming, TensorFlow basics, conceptual understanding of Neural Networks and gradient descent.   Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;Computer Programming  Artificial Neural Networks  Network Model  c++  Machine Learning  automatic differentiation  hindley milner type system  Gradient  Python Programming  Tensorflow data-science machine-learning;0
Engaging ELLs and Their Families in the School and Community;Arizona State University;Advanced;In this course, you will learn how to better and more successfully engage your ELL(s) and their families in the school and community. You will learn how to engage your ELL student in the classroom setting as well as in various aspects of the school including extracurricular activities and the inner workings of the school and education system.  You will also be introduced to strategies for engaging the families of your ELL students in the school community and the wider community of your city and state.  You will interact with a variety of case studies that highlight teachers, schools, and communities in different cities throughout the United States and the ways in which they successfully engage ELLs and their families.  From sharing their experience, you will have the tools necessary to implement strategies and procedures for engaging your ELLs and their families.   Upon completing this course, you will be able to:        * Define the culture of ELLs in K-12 classrooms across the U.S.        * Recognize cultural impact on learning and formal education         * Assess your schoolï¿½s engagement of ELLs and their families        * Incorporate culturally sensitive techniques to engage ELLs in the classroom and school         * Implement strategies for engaging ELLsï¿½ families in the school and larger community          * Design a plan for engagement of ELLs and their families in your school          * Create a checklist for school and community resources for engaging ELLs and            their families;parent  education  Culture  sports  parenting  family  resource  cultural impact  relative change and difference  Communication social-sciences education;1
Building Arduino robots and devices;Moscow Institute of Physics and Technology;Advanced;For many years now, people have been improving their tools, studying the forces of nature and bringing them under control, using the energy of the nature to operate their machines. Last century is noted for the creation of machines which can operate other machines. Nowadays the creation of devices that interact with the physical world is available to anyone.  Our course consists of a series of practical problems on making things that work independently: they make their own decisions, act, move, communicate with each other and people around, and control other devices. We will demonstrate how to assemble such devices and programme them using the Arduino platform as a basis. After this course, you will be able to create devices that read the data about the external world with a variety of sensors, receive and forward this data to a PC, the Internet and mobile devices, and control indexing and the movement. The creation of such devices will involve design, the study of their components, the assemblage of circuit boards, coding and diagnostics. Along with the creation of the devices themselves, you will perform visualization on a PC, create a web page that will demonstrate one of your devices, and figure out how an FDM 3D-printer is configured and how it functions.    Besides those keen on robotics or looking to broaden their horizons and develop their skills, the course will also be useful to anyone facing the task of home and industrial automation, as well as to anyone engaged in industrial design, advertising and art.  The course does not require any special knowledge from the participants and is open even to students of upper secondary school. Programming skills and the level of English allowing to read technical documentation would be an advantage, but this is not obligatory. The entire course is dedicated to practice, so the best way for you would be to get hold of some electronics, follow the illustrated examples and experiment on your own.  You can buy some Arduino here: https://store.arduino.cc/ The list of the items used in the Course: https://docs.google.com/spreadsheets/d/1h9MPcnWVt87GvXmzLycvZA6JyfeQtU43-6eosE6hI0M/edit?usp=sharing  Taught by: Alexey Perepelkin, head of Robotics department in the Laboratory of innovative educational technologies at MIPT Taught by: Dmitry Savitsky, researcher in the Laboratory of innovative educational technologies at MIPT;3D Printing  Electrical Engineering  Computer Programming  Mechanical Engineering  arduino  computer program  microcontroller  electronics  internet of things  robotics physical-science-and-engineering electrical-engineering;1
Sharing Cities: Governance and Urban Sustainability;Lund University;Intermediate;The sharing economy is booming! But what are the impacts on cities and sustainability? This course connects the sharing economy, cities, governance and urban sustainability to provide unique knowledge and insights into sharing cities. We utilize a diversity of leading examples of the emerging sharing economy in cities to bring this course to life.  The sharing economy can contribute to social, environmental and economic sustainability, and sharing cities can unlock new opportunities and solve urban challenges by facilitating and applying the sharing economy in urban contexts. But it is imperative that the sharing economy is shaped and designed to advance urban sustainability.   This course is created by Sharing Cities Sweden, which is a national program for the sharing economy in cities in Sweden. It aims to put Sweden on the map as a country that actively and critically works with sharing cities.  It brings together leading thinkers and practitioners from government, business, academic and civil society.   Sharing Cities Sweden is developing world-leading test-beds for the sharing economy in Stockholm, Gothenburg, Malmï¿½ and Umeï¿½, and coordinating a national node to significantly improve national and international cooperation on sharing cities. The underlying aim is to create sustainable, resilient and prosperous cities and urban areas.  This course covers a diversity of knowledge and experiences to present and explore sharing cities in a holistic perspective with examples from Sweden, Europe and around the world. In this course, we combine a mix of films and concise readings on sharing cities with interactive forums and practical assignments to create an online learning community!;resource  Civil Engineering  education  economy  energy  externality  loan  circular economy  persuasion  sustainability physical-science-and-engineering environmental-science-and-sustainability;2
Conversations That Inspire: Coaching Learning, Leadership and Change;Case Western Reserve University;Advanced;Coaching can inspire and motivate people to learn, change, and be effective leaders, among other roles in life. Although most attempts are ï¿½coaching for complianceï¿½ (coaching someone to your wishes or expectations), decades of behavioral and neuroscience research show us that ï¿½coaching with compassionï¿½ (coaching someone to their dreams and desires) is more effective.;coaching  leadership  neuroscience  compassion  Leadership Development  vision statement  listening  training and development  behavior  Emotional Intelligence business leadership-and-management;1
COVID19 Data Analysis Using Python;Coursera Project Network;Beginner;In this project, you will learn how to preprocess and merge datasets to calculate needed measures and prepare them for an Analysis. In this project, we are going to work with the COVID19 dataset, published by John Hopkins University, which consists of the data related to the cumulative number of confirmed cases, per day, in each Country. Also, we have another dataset consist of various life factors, scored by the people living in each country around the globe.  We are going to merge these two datasets to see if there is any relationship between the spread of the virus in a country and how happy people are, living in that country.  Notes: This project works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;Data Analysis  Python Programming  Matplotlib  Numpy  python libraries  analysis  Computer Programming  project  Data Visualization  Scatter Plot data-science data-analysis;0
Using Google Forms to Analyze User Research Data;Coursera Project Network;Beginner;User Research is at the heart of creating engaging, user friendly, and successful products, services, and designs. By the end of this project, you will learn the fundamentals of user research by designing and creating a survey using Google Forms on new features customers would like to see in a mobile banking app. You will also learn how to gather feedback and organize it into a presentable format.;online shopping  User Research  Data Analysis  Market Research  organizing (management)  project  Marketing  Writing  Digital Marketing  Banking business business-strategy;0
Implementing Parent Feedback with Google Forms;Coursera Project Network;Beginner;By the end of this project, you will have created a parent survey that you can send to your studentsï¿½ parents at the end of each school year. Continued professional development is important to be the most effective and current teacher you can be. But we do not often receive the feedback we need to keep our growth going.    Through this project, you will be ready to gain valuable feedback from parents, allowing you to discern areas of strength and growth for your future teaching. Using these same skills, you can go on from this project to create surveys to use with your students - especially for those in middle and high school - in order to start the year strong or gain insight for future growth. Feedback can also become a part of your professional portfolio. What better data than feedback from your classroom community?;project  parenting  Receiving  Professional Development  email  discern  parent  project mine  teaching  360-degree feedback social-sciences education;0
