Difficulty_Level;Skills;University;category_id
Beginner;user interface  entrepreneurship  html and css  debugging  web  html  css  design brief  user experience  user story business entrepreneurship;University of Virginia;0
Advanced;electronic circuit simulation  electrical engineering  modeling  market manipulation  simulation  compensation  accuracy and precision  switches  power electronics  average physicalscienceandengineering electricalengineering;University of Colorado Boulder;1
Advanced;economic evaluation  industrial design  collaboration  nutrition  innovation  business modeling  value capture  health care  intellectual property  field research business entrepreneurship;University of Copenhagen;1
Beginner;editing  project  budget  social media  social media marketing  employment  media market  video editing  media psychology  download business marketing;Coursera Project Network;0
Advanced;measurement  chart  bubble chart  project  software  communication  customer experience  bar chart  spreadsheet  spreadsheet software business businessessentials;Coursera Project Network;1
Advanced;fluid mechanics  framing  angular  computational fluid dynamics  observation  measurement  matrices  mapping  astronomy  satellite physicalscienceandengineering physicsandastronomy;University of Colorado Boulder;1
Advanced;web development  web design  databases  meteor  mongodb  web application  wordpress  collaboration  responsive web design  html computerscience mobileandwebdevelopment;University of London;1
Advanced;prospecting  business strategy  lead qualification  strategy  marketing  hubspot  sales  consumer behaviour  revenue  inbound marketing business businessstrategy;HubSpot Academy;1
Beginner;eating disorder  schizophrenia  anxiety  anxiety disorders  risk factors  etiology  anxiety disorder  risk factor  mood disorder  disease lifesciences publichealth;University of Colorado Boulder;0
Intermediate;computer programming  outbreak  kmer  dna sequencing  data structures  computational biology  assembly programming  graphs  genomics  algorithms computerscience algorithms;University of California San Diego;2
Advanced;presentation  project  cmos  chief executive officer  deliverable  utility  english language  budget analysis  budget  cfos languagelearning learningenglish;Arizona State University;1
Advanced;team management  project  ideas  project planning  cost  proposal writing  writing  project plan  lecture  budget languagelearning learningenglish;Moscow Institute of Physics and Technology;1
Beginner;finance  business plan  persona user experience  business model canvas  planning  business  project  product development  presentation  strategy business businessstrategy;Coursera Project Network;0
Beginner;climate change  social influence  collective action  efficacy  target audience  communication  perception  social norms approach  belief  behavior lifesciences publichealth;Yale University;0
Advanced;java annotation  persona user experience  interfaces  verification and validation  user experience  human computer interaction  usability  user persona  user interface design  user research computerscience designandproduct;University of Colorado Boulder;1
Intermediate;civil engineering  solar systems  electrical engineering  renewable energy  wind energy  energy  electrical design  solar energy  physics experiments  interior design physicalscienceandengineering environmentalscienceandsustainability;The State University of New York;2
Beginner;adoption  accenture  change management  leadership and management  cloud computing  strategy  modeling  critical success factor  project  business architecture business businessstrategy;The University of Melbourne;0
Intermediate;dnas  dna  experience  natural selection  gene regulation  sexual selection  gene  protein  species  evolution lifesciences basicscience;Universiteit Leiden;2
Advanced;analysis  pandas  data analysis  computer programming  statistical hypothesis testing  numpy  data manipulation  general statistics  hypothesis  python programming datascience dataanalysis;University of Michigan;1
Beginner;documents  logo  sales  digital distribution  brand  digital marketing  project  design expert  product management  photography business marketing;Coursera Project Network;0
Beginner;balance sheet  income statement  income  present value  cash flow  stock  investment  finance  net present value  financial statement business finance;Emory University;0
Beginner;software  relative change and difference  general statistics  box plot  post hoc analysis  autoregressive integrated moving average  verification and validation  null hypothesis  analysis of variance  statistical significance datascience dataanalysis;Coursera Project Network;0
Advanced;english language  human learning  strategy  lesson plan  listening  teaching  language  speech  thought  planning languagelearning learningenglish;Arizona State University;1
Beginner;array data structure  list of dns record types  dynamic array  software engineering  project management  java software platform  arrays  project  display devices  student debt computerscience softwaredevelopment;Coursera Project Network;0
Beginner;greek mythology  archeology  history  scientific management  dignity  conquesting  charisma  art  ordered pair  art history artsandhumanities history;University of Arizona;0
Intermediate;dna  human subject research  bioethics  synthetic biology  risk benefit ratio  biotechnology  recombinant dna  biosafety  biofuel  biology lifesciences publichealth;Johns Hopkins University;2
Beginner;000 grayscale images of handwritten digits you are going to deploy the trained neural network model as an azure web service azure web services provide an interface between an application and a machine learning studio workflow scoring model  you will write a python application to use the batch execution service and predict the class labels of handwritten digits  this is the third course in this series on building machine learning applications using azure machine learning studio i highly encourage you to take the first course before proceeding it has instructions on how to set up your azure ml account with 200 worth of free credit to get started with running your experiments   this course runs on courseras handson project platform called rhyme on rhyme you do projects in a handson manner in your browser you will get instant access to preconfigured cloud desktops containing all of the software and data you need for the project everything is already set up directly in your internet browser so you can just focus on learning for this project youï½ll get instant access to a cloud desktop with python jupyter and scikitlearn preinstalled  notes   you will be able to access the cloud desktop 5 times however you will be able to access instructions videos as many times as you want  this course works best for learners who are based in the north america region weï½re currently working on providing the same experience in other regions;Coursera Project Network;0
Beginner;language learning  grammar  speech  writing  language  family  oral communication  communication  human learning  adjective languagelearning otherlanguages;"""University of California, Davis""";0
Beginner;stroke  patient care  patient  symptoms  aphasias  scaling  neurology  health care  wash  point of care lifesciences patientcare;Universitat de Barcelona;0
Intermediate;intellectual property  leadership  chief executive officer  enabling  innovation  collaboration  smart contract  cryptocurrency  blockchain  business modeling business businessessentials;INSEAD;2
Beginner;rstudio  general statistics  r programming  language  data analysis  writing  computer programming  markup language  knitr  analysis datascience dataanalysis;Johns Hopkins University;0
Intermediate;arbitration  contract a  acceptance  american law  family law  common law  corporate law  law  doctrine  real estate socialsciences law;Yale University;2
Intermediate;matrix multiplication  continuous function  matrices  eulers totient function  derivative  analysis  function of a real variable  economic analysis  economic models  financial modeling business businessessentials;University of London;2
Intermediate;stateful firewall  porting  network security  firewall computing  network address translation  security  evaluation  security design  performance  file transfer protocol computerscience computersecurityandnetworks;University of Colorado System;2
Beginner;project  web  maximization psychology  brand  ecommerce  digital marketing  search engine optimization  technical support  project management  web design business marketing;Coursera Project Network;0
Beginner;user story  agile management  design thinking  software  user experience  agile software development  experience  software engineering  persona user experience  leadership and management computerscience designandproduct;University of Virginia;0
Intermediate;algorithms  tensorflow  machine learning  probabilistic models  regression  reinforcement learning  human learning  ordered pair  finance  artificial neural networks datascience machinelearning;New York University;2
Beginner;web development  html  data science  mobile development  javascript  web application  web  css  front and back ends  project computerscience mobileandwebdevelopment;Coursera Project Network;0
Intermediate;competition law  bankruptcy  public offering  initial public offering  limited liability  business law  law  corporate law  debtor  corporate bond business businessessentials;University of Illinois at Urbana-Champaign;2
Beginner;general statistics  inequality mathematics  web development  python programming  web  calibration  plotly  data visualization  computer programming  interactivity datascience dataanalysis;Coursera Project Network;0
Intermediate;topology optimization  generative design  mathematics  autodesk inventor  mechanical engineering  3d printing  autocad  computer animation  mechanical design  autodesk physicalscienceandengineering mechanicalengineering;Autodesk;2
Beginner;statistical classification  evaluation  modeling  regression  scikitlearn  machine learning  regression analysis  confusion matrix  logistic regression  python programming datascience machinelearning;Coursera Project Network;0
Advanced;lecture  rstudio  business analytics  software  r programming  data analysis  exploratory data analysis  applied statistics  utility  analytics business businessessentials;University of Illinois at Urbana-Champaign;1
Advanced;marketing  mobile marketing  strategy  marketing channel  market economics  digital marketing  digital media  media market  social media  social media marketing business marketing;University of Illinois at Urbana-Champaign;1
Advanced;it is our hope that much of the course content will still be of value to those in other parts of the world   to learn more about this course please watch the overview video by copying and pasting the following link into your web browser httpsgooglaamifl  keywords nonprofit;The State University of New York;1
Beginner;general statistics  null hypothesis  statistical hypothesis testing  estimation  pvalue  approximation error  publication bias  interpretation  a priori  effect size datascience probabilityandstatistics;Eindhoven University of Technology;0
Beginner;blockchain  market economics  smart contract  exploit computer security  sandbox computer security  race condition  ordered pair  ethereum  rational doors  security computerscience computersecurityandnetworks;Coursera Project Network;0
Intermediate;human learning  dynamic programming  valuebased pricing  markov decision process  reinforcement  deep learning  temporal difference learning  reinforcement learning  gradient  machine learning datascience machinelearning;National Research University Higher School of Economics;2
Beginner;product development  planning  strategy  business plan  modeling  persona user experience  user experience  project  presentation  integral business businessstrategy;Coursera Project Network;0
Beginner;security  global workforce  internet of things  smartphones  wireless lan  internet  global  openfabrics alliance  sap erp  mobile security computerscience computersecurityandnetworks;University System of Georgia;0
Advanced;art history  teaching  experiential learning  art  strategy  history  methodology  photography  analysis  creativity artsandhumanities musicandart;The Museum of Modern Art;1
Beginner;lean software development  process  kanban  software development process  software  software engineering  leadership and management  scrum software development  unified process  agile software development computerscience designandproduct;University of Alberta;0
Beginner;bible  drama  gena  comedy  short story writing  history  cartooning  atila  art  noreen artsandhumanities history;University of Colorado Boulder;0
Intermediate;tensorflow  artificial neural networks  callback computer programming  sprite computer graphics  javascript  webcams  rock paper scissors  modeling  rockbox  human learning computerscience softwaredevelopment;DeepLearning.AI;2
Beginner;compiler  statistical classification  modeling  machine learning  layer 8  python programming  project  test set  training  deep learning datascience machinelearning;Coursera Project Network;0
Beginner;human learning  modeling  civil engineering  puzzle  geology  electrical engineering  history  history of rock  gratitude  influencing physicalscienceandengineering environmentalscienceandsustainability;University of Manchester;0
Beginner;listening  cooking  telephone number  chinese language  language  writing  communication  grammar  chinese basic  speech languagelearning otherlanguages;Peking University;0
Beginner;natural language processing  speech recognition  memory  long shortterm memory  language  namedentity recognition  term time  natural language  modeling  deep learning datascience machinelearning;DeepLearning.AI;0
Intermediate;verstehen  intuition  authority  gratitude  sales management  customer service  sales meetings  process  thought  nun business businessessentials;University of Colorado Boulder;2
Beginner;000 students  we will focus on both popular sports like soccer or ï½football;Duke University;0
Beginner;counta;Coursera Project Network;0
Advanced;analysis  research methods  evaluation  data mining  digital image  medical writing  pathology  electronic health records  electronic health record  ontology information science datascience dataanalysis;EIT Digital;1
Beginner;redis  docker software  software  angularjs  laravel  html and css  project  html  demos  angular informationtechnology cloudcomputing;Coursera Project Network;0
Advanced;ordered pair  general statistics  odds  delta method  exact test  statistical hypothesis testing  biostatistics  mathematical statistics  odds ratio  booting datascience probabilityandstatistics;Johns Hopkins University;1
Intermediate;code injection  access control  web application  authentication  plaintext  encryption  threat model  security  crosssite scripting  trust boundary computerscience computersecurityandnetworks;"""University of California, Davis""";2
Intermediate;art  observational astronomy  astrology  architecture  geology  archeology  history  religion  astronomy  art history physicalscienceandengineering physicsandastronomy;Politecnico di Milano;2
Advanced;strategy  analysis  business development  strategic planning  business  business strategy  international business strategy  business analysis  strategy implementation  analytics business businessstrategy;University of Virginia;1
Advanced;interactivity  computer programming  microsoft excel macro  microsoft excel vba  project management  microsoft project  microsoft access  usability  microsoft excel  visual basic computerscience algorithms;University of Colorado Boulder;1
Beginner;topic model  curve fitting  hyperparameter optimization  machine learning  mathematical optimization  data analysis  project  general statistics  modeling  evaluation datascience machinelearning;Coursera Project Network;0
Advanced;internet  modeling  psychology  control chart  lecture  process  patient safety  blame  healthcare quality  latex personaldevelopment personaldevelopment;Case Western Reserve University;1
Intermediate;innovation  marketing  target market  promotion marketing  marketing mix  social marketing  interview  strategy  consumer behaviour  global marketing business marketing;Yonsei University;2
Beginner;project mine  project  system f  recommender systems  machine learning  data science  cleaning  training  evaluation  collaboration datascience machinelearning;Coursera Project Network;0
Advanced;decentralization  solidity  application programming interfaces  event computing  javascript  testdriven development  ethereum  peertopeer  smart contract  blockchain computerscience softwaredevelopment;The State University of New York;1
Beginner;join sql  project management professional  icarus project  project management body of knowledge  project  meta learning  teaching method  tostan  learning theory education  lesson plan computerscience softwaredevelopment;Coursera Project Network;0
Beginner;network load balancing  network interface  leadership and management  cloud platforms  network management  load balancing  cloud computing  subnetwork  google cloud platform  load balancing computing informationtechnology networking;Google Cloud;0
Beginner;creativity  informatics  semigroup action  nursing  organizing management  awareness  leadership style  nursing informatics  leadership and management  leadership datascience dataanalysis;University of Minnesota;0
Advanced;interpersonal communication  building relationships  international relations  intercultural communication  crosscultural communication  leadership  social networking  intrapersonal communication  communication  workplace communication personaldevelopment personaldevelopment;National University of Singapore;1
Intermediate;architecture  art  bible  art history  glassing  middle age  ageing  mother  autoregressive conditional heteroskedasticity  history artsandhumanities history;Yale University;2
Advanced;regression  early stopping  validation set  mathematics  logistic regression  computer science  supervised learning  scatterplot smoothing  machine learning  line fitting datascience machinelearning;IBM;1
Intermediate;3d modeling  3d lookup table  autodesk 3ds max  3d printing  mechanical engineering  sketchup  scaling  computeraided design  civil engineering  mirror physicalscienceandengineering mechanicalengineering;National Taiwan University;2
Advanced;authentication  web  project  interfaces  security  project mine  javascript framework  javascript  writing  web application computerscience mobileandwebdevelopment;Coursera Project Network;1
Intermediate;test plan  no frills  cognitive walkthrough  evaluation  ideas  user interface design  user interface  user experience  user research  heuristic evaluation computerscience designandproduct;University of Minnesota;2
Intermediate;aromatherapy  therapy  healing  functional medicine  reiki  scope of practice  ayurveda  naturopathy  medicine  chinese medicine lifesciences patientcare;University of Minnesota;2
Beginner;object composition  color space  objectz  c sharp programming language  object value  restful objects  distance transform  c++  histogram of oriented gradients  color balance computerscience softwaredevelopment;Coursera Project Network;0
Beginner;pandas  python programming  missing data  applied machine learning  machine learning  fintech  concatenation  data science  numpy  deep learning datascience dataanalysis;Coursera Project Network;0
Advanced;financial crisis  economic development  market economics  global financial crisis  global financial system  crisis  emerging markets  economics  economy  planning socialsciences economics;National Research University Higher School of Economics;1
Advanced;application development  smart contract  file system  scalability  blockchain  escrow  multisignature  microsoft azure  ethereum  solidity computerscience softwaredevelopment;The State University of New York;1
Beginner;supply chain management  inventory control  supply chain  industrial engineering  inventory turnover  market research  supply chain analytics  inventory management  inventory  analytics business businessessentials;Rutgers the State University of New Jersey;0
Beginner;virtual private networks  resource  architecture  security  firewall computing  internality  threat  enterprise information system  display devices  home security informationtechnology security;Check Point Software Technologies Ltd.;0
Intermediate;ï½ your brain must figure out even the simplest of details about the world around you and your position in it  recognizing your mother finding your phone going to the grocery store playing the banjo ï½ these require careful sleuthing and coordination across different sensory and motor domains  this course traces the brainï½s detective work to create this sense of space and argues that the brainï½s spatial focus permeates our cognitive abilities affecting the way we think and remember  the material in this course is based on a book ive written for a general audience  the book is called making space how the brain knows where things are and is available from amazon barnes and noble or directly from harvard university press   the course material overlaps with classes on perception or systems neuroscience and can be taken either before or after such classes  dr jennifer m groh phd professor psychology  neuroscience;Duke University;2
Beginner;amazon web services  serverless computing  amazon cloudfront  continuous integration  web service  application programming interfaces  cloud computing  lexical analysis  web  amazon dynamodb informationtechnology cloudcomputing;Amazon Web Services;0
Advanced;user fee  interfaces  application programming interfaces  reusability  particle system  computer programming  rendering computer graphics  table of keyboard shortcuts  software engineering  unreal engine computerscience softwaredevelopment;Unity;1
Beginner;profit maximization  total revenue  competitiveness  perfect competition  market structures  cost  agriculture  competition economics  lerner index  market economics business businessessentials;University of Rochester;0
Intermediate;personal finance  finance  future value  perpetuity  interest  personal advertisement  present value  annuity  trading  loan business finance;University of Michigan;2
Advanced;image registration  wrapper function  fmri  cerebrospinal fluid  r programming  eulers totient function  image processing  neuroimaging  computer programming  neuroscience datascience dataanalysis;Johns Hopkins University;1
Intermediate;less stylesheet language  jquery  language  bootstrap frontend framework  javascript  sass stylesheet language  web  github  software as a service  css computerscience mobileandwebdevelopment;The Hong Kong University of Science and Technology;2
Advanced;market economics  market penetration  market risk  finance  rd management  decision making  studentized residual  payments  operations management  supply chain business finance;New York Institute of Finance;1
Advanced;utility  logotherapy  algebra  human resources  coaching  facilitation  listening  psychology  augmented assignment  asset business leadershipandmanagement;"""University of California, Davis""";1
Advanced;java annotation  application programming interfaces  return statement  show me  interoperability  eulers totient function  message  project  callable bond  properties computerscience mobileandwebdevelopment;Coursera Project Network;1
Beginner;categorical data  operations management  cleaning  spreadsheet  business analysis  aggregate function  applied mathematics  eulers totient function  project mine  analysis datascience dataanalysis;Coursera Project Network;0
Intermediate;forward error correction  chain rule  noise  mutual information  markov chain  random variable  entropy information theory  memorylessness  information theory  coding theory mathandlogic mathandlogic;The Chinese University of Hong Kong;2
Beginner;covariance  basic descriptive statistics  project  categorical variable  general statistics  studentized residual  average  univariate  stata  project mine datascience dataanalysis;Coursera Project Network;0
Advanced;communication  strategic negotiations  psychological tools  planning  strategy  negotiation  law  decision tree  business strategy  contract negotiation business businessessentials;University of Michigan;1
Advanced;writing  chord  guitar  catia  creativity  piano  jazz  scaling  gauss markov theorem  music artsandhumanities musicandart;Berklee College of Music;1
Beginner;law  codetermination  taxes  business law  market economics  principal agent problem  collective action  labour law  environmental law  case report business businessessentials;Lund University;0
Beginner;forest  writing  random forest  evaluation  machine learning  python programming  r programming  randomness  experiment  feature engineering datascience machinelearning;Coursera Project Network;0
Intermediate;human learning  benefits  resource  critical thinking  human resources  resource management  performance management  compensation  recruiting  leadership and management business leadershipandmanagement;University of Minnesota;2
Beginner;analysis  leadership  healthcare reform  critical thinking  public administration  communication  war  political science  policy analysis  international relations socialsciences governanceandsociety;University of Virginia;0
Advanced;modeling  planning  analysis  market economics  environmental factor  project  integral  business plan  strategic analysis  presentation business businessstrategy;Coursera Project Network;1
Beginner;file shortcut  internet  opencv  web desktops  machine learning  python programming  project  cloud computing  computer vision  display devices datascience machinelearning;Coursera Project Network;0
Advanced;mapping  business case  project  personal advertisement  leadership  leadership and management  change management  writing  average  planning business businessstrategy;Coursera Project Network;1
Beginner;vector calculus  explicit substitution  calculus  lambda calculus  partial derivative  integral  surface integral  derivative  modal calculus  adaptive grammar mathandlogic mathandlogic;The Hong Kong University of Science and Technology;0
Advanced;marketing research  securities research  digital advertising  conjoint analysis  marketing plan  marketing  digital marketing  market research  perceptual mapping  social media marketing business marketing;"""University of California, Davis""";1
Intermediate;venture capital  peertopeer lending  liquidation  capitalization table  footprint  credit  digital footprint  peertopeer  auctions  finance business finance;Duke University;2
Intermediate;health system  health care  education  training and development  professional development  policy development  continuing education  strategy  public health  leadership and management lifesciences publichealth;Johns Hopkins University;2
Intermediate;investment banking  wealth management  investment management  asset management  trading  stock market  finance  leadership and management  investment  risk business finance;University of Geneva;2
Advanced;graphs  computer graphics  monotone polygon  geometry  search tree  convex hull  algorithms  sweep line algorithm  range tree  nielsen ratings computerscience algorithms;Saint Petersburg State University;1
Beginner;ï½ most sales data demonstrate trends based on the seasonï½or period of timeï½in which they occur there are a multitude of statistical methods that can enhance forecasting by including the factor of seasonality this course will introduce you to making sales projections with a multiplicative seasonal model   in this course we will review the principles of forecasting consider use cases for forecasting with seasonality build the seasonal index from the ground up run a forecast with and without seasonality on sales data and consider the next steps that could be taken with our seasonal forecast along the way you will visualize the data and understand how forecasting with seasonality works you will do this as we work sidebyside in the freetouse software google sheets  by the end of this course you will understand use cases for conducting forecasts with seasonality in your workplace and be able to confidently apply seasonality in any spreadsheet software   note this course works best for learners who are based in the north america region weï½re currently working on providing the same experience in other regions;Coursera Project Network;0
Advanced;floating point  google cloud platform  linear model  machine learning  tensorflow  human learning  statistical classification  artificial neural networks  deep learning  convolutional neural network datascience machinelearning;Google Cloud;1
Advanced;piano  guitar  sound  acoustics  com file  cabling  music  software  digital audio workstation  oscilloscope artsandhumanities musicandart;Berklee College of Music;1
Beginner;encryption  digital signature  security  security compliance  security management  hashing  isoiec 270012013  cryptography  cyber security standards  signature informationtechnology security;IBM;0
Advanced;python programming  entry point  exercise  project mine  machine learning  test set  project  tensorflow  eulers totient function  loss function datascience machinelearning;Coursera Project Network;1
Beginner;sign  english language  education  accounting  schedule  communication  process  internet of things  project mine  training socialsciences education;Coursera Project Network;0
Advanced;market economics  growth strategies  modern portfolio theory  strategy  strategic management  value proposition  competitor analysis  growth share matrix  leadership and management  competitiveness business businessstrategy;Macquarie University;1
Beginner;linearity  machine learning  modeling  regression analysis  summary statistics  linear regression  r programming  data analysis  test set  regression datascience machinelearning;Coursera Project Network;0
Intermediate;inflation  government budget balance  unemployment  trading  monetary policy  fiscal policy  demand modeling  recession  leadership and management  taxes business businessstrategy;"""University of California, Irvine""";2
Beginner;human learning  symptoms  gratitude  sports  concussion  medicine  concussions in sport  emergency  disaster medicine  emergency medical services lifesciences publichealth;University of Michigan;0
Beginner;machine learning  ggplot2  linear regression  randomness  project  finance  random forest  eulers totient function  r programming  microsoft excel datascience dataanalysis;Coursera Project Network;0
Advanced;threat  stateful firewall  network security  security  security through obscurity  threat computer  file transfer protocol  firewall computing  enterprise private network  intrusion detection systems computerscience computersecurityandnetworks;New York University;1
Beginner;social media  social media marketing  use case  advertising  software  project  chart  content creation  web  spreadsheet software business marketing;Coursera Project Network;0
Intermediate;finance  economy  inflation  causality  fiscal policy  gross domestic product  economics  banking in australia  monetary policy  crisis socialsciences economics;The University of Sydney;2
Intermediate;global  sustainability  biosphere  justice  green jobs  education  youth  innovation  climate change  economics socialsciences governanceandsociety;Yonsei University;2
Intermediate;global  strategy  competitiveness  pricing strategies  supply chain  pricing  market economics  shareholder value  service innovation  innovation business businessstrategy;The Hong Kong University of Science and Technology;2
Beginner;law  history  entertainment law  leadership and management  evaluation  music  art history  provisioning  year 2000 problem  personal advertisement artsandhumanities musicandart;Berklee College of Music;0
Intermediate;astronomy  evolution  process  verse protocol  theory of relativity  astrobiology  physics  solar systems  satellite  energy physicalscienceandengineering physicsandastronomy;Caltech;2
Advanced;modulo operation  microservices  source code  ternary conditional operator  data clustering algorithms  null coalescing operator  information sensitivity  openshift  streams  control plane informationtechnology cloudcomputing;IBM;1
Advanced;analysis  front and back ends  ordered pair  project  tensorflow  modeling  statistical classification  artificial neural networks  sentiment analysis  project mine datascience machinelearning;Coursera Project Network;1
Beginner;planning  leadership and management  strategic thinking  strategic planning  strategic development  thought  strategy  strategy implementation  project management  project business businessstrategy;Brightline Initiative;0
Beginner;pygame  project  eulers totient function  display devices  video game development  physics  computer graphics  python programming  software engineering  computer animation computerscience softwaredevelopment;Coursera Project Network;0
Intermediate;leadership and management  security  linux console  studentized residual  linux on embedded systems  sudo  access control  server administrator  security controls  eulers totient function informationtechnology security;University of Colorado System;2
Beginner;pointing device gesture  rd management  gradient  lambda lifting  ordered pair  english grammar  topdown and bottomup design  standing ovation  path variable  project computerscience designandproduct;Coursera Project Network;0
Beginner;autodesk  solidworks  modeling  autocad  3d modeling  3d printing  design for reuse  mechanical design  mechanical engineering  computeraided design physicalscienceandengineering mechanicalengineering;Autodesk;0
Advanced;social venture capital  impact investing  planning  business plan  social business model  social entrepreneurship  funding options  innovation  strategy  modeling business entrepreneurship;Copenhagen Business School;1
Intermediate;estimation  real options  market economics  finance  expected return  systematic risk  weighted average cost of capital  asset  investment  real options valuation business finance;The University of Melbourne;2
Beginner;hygiene  infection  prevention  antibiotic  home directory  nursing  antibiotics  nursing homes  hand  infection control lifesciences publichealth;The University of North Carolina at Chapel Hill;0
Beginner;experience  creativity  innovation  brainstorming  music  creative entrepreneurship  strategy  observation  entrepreneurship  collaboration business leadershipandmanagement;Berklee College of Music;0
Beginner;analytics  data model  process  evaluation  modeling  data mining  analysis  data analysis  cross industry standard process for data mining crispdm  methodology datascience dataanalysis;IBM;0
Advanced;multiliteracy  project  properties  teaching method  problembased learning  icarus project  java annotation  principles of learning  writing  meta learning computerscience softwaredevelopment;Coursera Project Network;1
Beginner;addiction  piecewisedeterministic markov process  risk factors  medication  opioid overdose  formulation  drugs  naloxone  risk factor  harm reduction lifesciences publichealth;Johns Hopkins University;0
Intermediate;postpartum period  parent  child  parenting  nipple  mother  coregulation  sleep system call  sleep  scaled agile framework lifesciences publichealth;University of Colorado System;2
Intermediate;arbitration  coaching  psychology  life coaching  narrative therapy  active listening  neurolinguistic programming  psychology of self  conflict resolution  coaching psychology business businessessentials;Emory University;2
Beginner;tensorflow  project  machine learning  algorithms  automatic differentiation  linearity  linear regression  calculus  python programming  regression datascience machinelearning;Coursera Project Network;0
Advanced;software  brand  value capture  internet  digital strategy  strategy  value proposition  ecommerce  modeling  customer experience business businessstrategy;Lund University;1
Beginner;performance  modeling  project  python programming  evaluation  regression analysis  linearity  linear regression  regression  machine learning datascience machinelearning;Coursera Project Network;0
Intermediate;greenhouse gas  semigroup action  food choice  urban planning  civil engineering  climate change  environmental communication  sustainability  adaptation  energy consumption physicalscienceandengineering environmentalscienceandsustainability;University of Michigan;2
Intermediate;essay writing  critical thinking  observation  photography  history  photo essays  art history  art  analysis  creativity artsandhumanities musicandart;The Museum of Modern Art;2
Beginner;html  angularjs  django web framework  python programming  php  web development  flask  javascript  web  json computerscience mobileandwebdevelopment;University of Michigan;0
Beginner;ideas  archeology  history  religion  bible  culture  canned tea  israel  art history  conquesting artsandhumanities history;Tel Aviv University;0
Beginner;ideas  radio button  android studio  text box  telephone number  persistence computer science  exit system call  persistence  software engineering  android development computerscience mobileandwebdevelopment;Coursera Project Network;0
Advanced;peering  conditional loop  voting  teaching method  debugging  do while loop  control flow  interactivity  relative change and difference  resource socialsciences education;University of California San Diego;1
Beginner;business writing  email writing  writing  english language  confidence  communication  business communication  email  presentation  grammar business businessessentials;University of Colorado Boulder;0
Beginner;relational database  internet  rounding  mysql  analysis  associative entity  data analysis  database model  nest  interpretation informationtechnology datamanagement;Coursera Project Network;0
Intermediate;english language  latex  effective method  strategy  english grammar  perfect tenses  instructional design  teaching  grammar  students tdistribution languagelearning learningenglish;"""University of California, Irvine""";2
Intermediate;disease  disease surveillance  epidemiology  public health surveillance  antimicrobial resistance  public health  antimicrobials  prevention  noncommunicable disease  risk factors lifesciences publichealth;Johns Hopkins University;2
Beginner;web development  css  github  project  html and css  web design  html  html5  web page  web computerscience mobileandwebdevelopment;Coursera Project Network;0
